index,input,type,A,B,C,D,E,F,summary,A_c,B_c,C_c,D_c,E_c,F_c,sentiment_gpt
992,"生成AIが企業のブランドイメージに対して損ねる画像を作る状況を引き起こしている。
無断学習した生成AIで作成画像を公開することがあってはならない。",規範的主張,生成AIが企業のブランドイメージに損ねる,状況を引き起こしている,無断学習した生成AIで作成画像,公開することがあってはならない,NA,NA,生成AIが企業のブランドイメージに損ねる状況を引き起こしているから無断学習した生成AIで作成画像を公開することがあってはならない。,1437,356,146,1512,2960,2960,0.1
993,"生成AIが創作に関する人間に対して困らせている。
生成AIによる無断転載が許可されるべきではない。",規範的主張,生成AIが創作,人間に困らせている,無断転載,許可されるべきではない,NA,NA,生成AIが創作に関する人間に困らせているから、無断転載は許可されるべきではない。,0,2190,158,1946,2960,2960,0.1
994,"生成AI技術が特化した補正用データの技術に対して意図的に元作品に類似させることができるような状況を引き起こしている。
社会が著作権（特に公衆送信権）の理解が不十分な点について広く周知して欲しい。",要望,生成AI技術,特化した補正用データの技術,NA,NA,社会,著作権の理解を広く周知,生成AI技術が特化した補正用データの技術であるから、社会に対して著作権の理解を広く周知して欲しい。,10,2910,2960,2960,2880,3132,0.1
995,"生成AIが心を病んでしまう状況を引き起こしている。
生成AIによる絵の使用が盗作に等しい行為である。",規範的主張,生成AIが心を病む,状況,絵の使用,盗作に等しい行為,NA,NA,生成AIが心を病む状況だから絵の使用は盗作に等しい行為であるべきである。,1853,5015,170,1644,2960,2960,0.1
996,"誤認を意図したＡＩ生成物について既に存在するイラストレーター、カメラマン、音楽家の作風を模倣することにより、誤認を意図した生成が可能である行為が既存の著作物や著作者の創作物に対して誤認されている状況を引き起こしている。
ＡＩ生成物が公表される場合がＡＩ生成物であることの明記を法律により義務化すべきである。",規範的主張,誤認を意図したAI生成物,既存の著作物に対して誤認されている,AI生成物の公表,法律による明記が義務,NA,NA,誤認を意図したAI生成物が既存の著作物に対して誤認されているから、AI生成物の公表は法律による明記が義務であるべきである。,1042,4563,2523,1404,2960,2960,0.2
997,"生成AIを用いて行われていることが創作業界に対して模造コピー品で溢れかえる状況を引き起こしている。
生成AIを用いることが違法であるべきである。",規範的主張,生成AIの使用,模造コピー品で溢れかえる状況,生成AIの使用,違法であるべき,NA,NA,生成AIの使用は模造コピー品で溢れかえる状況だから、生成AIの使用は違法であるべきである。,0,2964,0,21,2960,2960,0.1
998,"生成AIと呼ばれる物の大部分が元著作者の利益に対して横取りしている。
生成AIで表現物・著作物を発表する現状が直ちに是正されるべきである。",規範的主張,生成AIと呼ばれる物の大部分,元著作者の利益に対して横取りしている,生成AIで表現物・著作物を発表する現状,直ちに是正されるべき,NA,NA,生成AIと呼ばれる物の大部分が元著作者の利益に対して横取りしているから、生成AIで表現物・著作物を発表する現状は直ちに是正されるべきである。,4160,3033,4793,3574,2960,2960,0.1
999,"AIが素晴らしい作品に対して拝見できなくなる状況を引き起こしている。
AIの規制が本格的であるべきである。",規範的主張,AIが素晴らしい作品,拝見できなくなる状況,AIの規制,本格的であるべき,NA,NA,AIが素晴らしい作品に対して拝見できなくなる状況を引き起こしているから、AIの規制が本格的であるべきである。,346,3117,12,2453,2960,2960,0.1
1000,"AIによって生成された画像が著作者の権利に対して守れない状況を引き起こしている。
素案を作成した者が撤回を求める。",要望,AIによる画像生成,著作者の権利に対して守れない状況,NA,NA,素案を作成した者,撤回を求める,AIによる画像生成が著作者の権利に対して守れない状況だから、素案を作成した者に対して撤回を求めて欲しい。,0,2851,2960,2960,5038,3243,0.1
1001,"無断利用者が作品に対して利用される状況を引き起こしている。
Webポートフォリオでの作品の掲載が安心して行えるようであるべき。",規範的主張,無断利用者,作品に対して利用される状況,Webポートフォリオ,安心して行えるよう,NA,NA,無断利用者が作品に対して利用される状況だから、Webポートフォリオでの作品の掲載が安心して行えるようであるべきである。,959,4439,598,1107,2960,2960,0.2
1002,"イラスト生成のシステムがイラストレーターに対して名誉損害を引き起こしている。
AIの規制が必要である。",規範的主張,イラスト生成のシステム,イラストレーターに対して名誉損害,AIの規制,必要,NA,NA,イラスト生成のシステムがイラストレーターに対して名誉損害を引き起こしているから、AIの規制が必要である。,551,1750,12,39,2960,2960,0.1
1003,"AIが生成することが可能になるまでのデータが創作者たちに対して時間とお金を莫大に投資して身に着けた技術。
AI生成を商用利用することが慎重に動いていかなければならないことである。",規範的主張,AIが生成すること,創作者たちに対して時間とお金を莫大に投資して身に着けた技術,AI生成を商用利用すること,慎重に動いていかなければならない,NA,NA,AIが生成することが創作者たちに対して時間とお金を莫大に投資して身に着けた技術であるから、AI生成を商用利用することは慎重に動いていかなければならない。,0,516,121,172,2960,2960,0.1
